unique_id,category,scenario,initiating_actor,preconditions,exact_expected_flow,relevant_public_endpoint_or_event,expected_status_and_state_transition,idempotency_and_retry_behavior,security_authorization_boundary,current_implementation_status,certification_depth,direct_evidence,missing_work,production_risk,exact_test_needed_to_certify
UC-051,POS webhooks,Retry failed POS webhook,Restec worker/POS,Accepted private payment event has created an outbox record.,Dispatcher claims leased events and schedules bounded delays; same event ID signed anew.,Internal dispatch job,pending -> processing -> pending/delivered/dead_letter.,Attempts unique; retry schedule capped at 12h.,Job bearer; destination SSRF checks.,IMPLEMENTED_AND_TESTED,mock integration tested,apps/api/src/app.ts:1079-1188; packages/webhook-delivery/src/index.ts:51-52; packages/webhook-delivery/src/index.test.ts:38,Supabase integration and scheduler certification.,critical,Inject network/408/425/429/5xx across overlapping workers; verify exact schedule.
UC-052,POS webhooks,POS reconciles webhook with bill/payment state,Restec worker/POS,Accepted private payment event has created an outbox record.,"Payload includes public payment/bill state, but POS acknowledgement has no semantic receipt/reconciliation feedback.",Partner webhook event,POS 2xx marks transport delivered only.,POS must dedupe event_id.,Partner/location/environment included; no private IDs.,IMPLEMENTED_NOT_FULLY_TESTED,schema/mock tested,packages/contracts/src/index.ts:196-238; packages/connectors/canonical-rest/src/index.ts:23-42,Acknowledgement/reconciliation contract and real POS test.,high,Have POS accept but intentionally reject semantic state; verify detectable recovery path.
UC-053,Webhook anomalies,Duplicate private payment event,Provider/private service,Signed event/callback input.,Inbox insert dedupes by private event ID; same hash returns prior public event and no new outbox.,POST internal event,First 202; duplicate 200; one outbox.,Durable event ID plus hash.,Signed event and connection mapping.,IMPLEMENTED_AND_TESTED,unit/mock tested,apps/api/src/app.test.ts:43; apps/api/src/app.ts:1044-1077; supabase/migrations/20260718000100_restec_final_integration.sql:38-98,Supabase integration skipped.,critical,Send exact duplicates concurrently across instances; assert one inbox/outbox.
UC-054,Webhook anomalies,Delayed or out-of-order terminal events,Provider/private service,Signed event/callback input.,Paid is monotonic; late paid after fail/expire/cancel atomically reacquires capacity; different IDs for the same logical terminal state reuse one POS event.,Private events and scheduler reconciliation,Forbidden regressions reject; safe late paid applies; capacity conflict requires review.,Technical IDs dedupe to the logical session terminal event.,Deep associations apply to provider callbacks; scheduler uses mapped private identity.,IMPLEMENTED_AND_TESTED,state lifecycle and logical dedupe tested,"packages/contracts/src/payment-session-state.ts; apps/api/src/normal-payment-lifecycle.test.ts; supabase/migrations/20260807000300_normal_payment_lifecycle.sql",Real PostgreSQL race certification.,critical,Permute paid/failed/expired/cancelled concurrently against PostgreSQL.
UC-055,Webhook anomalies,Same event ID with conflicting body,Provider/private service,Signed event/callback input.,DB RPC compares request hash and raises replay_detected; memory path is tested more than Supabase.,POST internal event,409 conflict; existing event remains.,Event ID immutable to body.,HMAC alone does not override stored hash.,IMPLEMENTED_NOT_FULLY_TESTED,unit/migration tested,supabase/migrations/20260718000100_restec_final_integration.sql:57-63; apps/api/src/app.test.ts:43,Supabase concurrent conflict test.,critical,Race same ID with two signed bodies; assert one accepted and deterministic conflict.
UC-056,Webhook anomalies,Missing provider webhook,Provider/private service,Signed event/callback input.,Scheduler polls private state and converts authoritative paid/failed/cancelled/expired reads into atomic session/reservation/bill/outbox commits.,reconcile-payment-sessions job,Provider terminal -> canonical event; active/unavailable -> reservation retained and pending audit.,Deterministic reconciliation identity and logical terminal dedupe.,Job bearer; private service auth and stored mapping.,IMPLEMENTED_AND_TESTED,local scheduler lifecycle tested,"apps/api/src/reconciliation.ts; apps/api/src/normal-payment-lifecycle.test.ts; supabase/migrations/20260807000300_normal_payment_lifecycle.sql",Provider sandbox and deployed scheduler certification.,critical,"Suppress real provider webhook, observe terminal state remotely, and retain eventual POS convergence evidence."
UC-057,Offline/retries,POS webhook network timeout,Restec worker/POS,Pending outbox event and configured connector.,Connector aborts at configured timeout and returns retry.,Dispatch job,processing -> pending with next attempt.,Same event ID; increment attempt.,SSRF check every attempt.,IMPLEMENTED_AND_TESTED,standalone/mock tested,packages/connectors/canonical-rest/src/index.ts:51-75; packages/connectors/canonical-rest/src/mock-pos-server.test.ts:8,Remote slow-server and scheduler evidence.,critical,Delay beyond timeout through real network and verify no duplicate semantic acceptance.
UC-058,Offline/retries,POS responds 429 or 5xx,Restec worker/POS,Pending outbox event and configured connector.,Retryable status classification is explicit.,Dispatch job,pending/retry; eventually delivered/dead_letter.,Retry schedule fixed; Retry-After response is ignored.,Per-event attempts.,IMPLEMENTED_AND_TESTED,mock tested,packages/connectors/canonical-rest/src/index.ts:65-72; apps/api/src/sandbox-scenarios.test.ts:52,Decision/support for Retry-After and remote test.,high,Return 429 with Retry-After and each 5xx; compare expected schedule.
UC-059,Offline/retries,Retries exhaust and event dead-letters,Restec worker/POS,Pending outbox event and configured connector.,Runtime and RPC support dead_letter and manual replay; DB integration and alerting are absent.,Dispatch job; reconcile requeue,At max -> dead_letter; manual requeue -> pending.,Same event ID and attempt evidence retained.,Job-only replay.,PARTIALLY_IMPLEMENTED,code/mock tested,"apps/api/src/app.ts:1154-1173,1215-1219; packages/database/src/supabase-repository.ts:555-611","Alerting, queue-age SLO, Supabase integration, runbook exercise.",critical,"Exhaust real DB attempts, page operator, replay once, verify immutable history."
UC-060,Offline/retries,Scheduler stops or callback service remains offline,Restec worker/POS,Pending outbox event and configured connector.,Leases recover on later dispatcher invocation; no runtime watchdog/SLO enforcement exists.,Vercel/GitHub scheduler -> dispatch job,No progress while stopped; later worker releases expired leases and resumes.,DB leases prevent permanent processing lock.,Scheduler bearer token.,PARTIALLY_IMPLEMENTED,configuration only,apps/api/vercel.json:13-21; .github/workflows/payment-pipeline-jobs.yml:4-44; apps/api/src/app.ts:1082-1086,"Scheduler health alert, ownership, failover and outage drill.",critical,"Disable all schedulers, age queue, restore one, verify SLA/alerts/no duplicate delivery."
UC-061,Idempotency/replay,Retry mutation with same key and exact bytes,POS,Authenticated signed request.,Completed response is stored and replayed; downstream key is deterministic.,PUT/POST public routes,Original status/body returned.,New request ID/signature required; same logical key/body.,Partner-scoped key and signed exact body.,IMPLEMENTED_AND_TESTED,route/mock tested,apps/api/src/app.ts:136-178; apps/api/src/pos-partner.test.ts:148; apps/api/src/payment-sessions.test.ts:225,Supabase expiry/stale-record integration.,critical,Retry after lost response across instance restart and verify no second downstream call.
UC-062,Idempotency/replay,Reuse idempotency key with different path/body,POS,Authenticated signed request.,Stored hash/method/path mismatch returns 409.,Mutating public routes,409 idempotency_conflict; no work.,Key is partner-wide.,Partner scope prevents other partner collision.,IMPLEMENTED_AND_TESTED,route tested,apps/api/src/app.ts:147-163; packages/database/src/supabase-repository.ts:165-217; apps/api/src/pos-partner.test.ts:165,Supabase concurrent conflict test.,critical,Reuse key across location/path/body and assert conflict/no downstream call.
UC-063,Idempotency/replay,Duplicate X-Request-Id,POS,Authenticated signed request.,"Replay record insert uniqueness rejects all repeats, even exact retry.",All /v1 routes,409 replay_detected.,Always generate new request ID for retry.,"Partner/environment/hash/timestamp stored, but PK is globally request_id.",IMPLEMENTED_AND_TESTED,mock tested,apps/api/src/auth.ts:101-111; packages/database/src/supabase-repository.ts:147-163; apps/api/src/mock.e2e.test.ts:99,Supabase expiration cleanup and cross-partner collision policy test.,high,Reuse ID same/different partner/body after TTL and verify documented behavior.
UC-064,Idempotency/replay,Stale/future timestamp or bad signature,POS,Authenticated signed request.,Timestamp tolerance and exact method/path/body HMAC are verified before replay reservation.,All /v1 and webhook routes,401; no state change.,Correct and retry with new request ID/timestamp/signature.,Per-credential signing secret.,IMPLEMENTED_AND_TESTED,unit/mock tested,packages/security/src/index.ts:14-53; apps/api/src/auth.ts:84-111; packages/security/src/security.test.ts:13-53,Clock-skew observability and boundary integration.,high,"Test +/- tolerance edges, milliseconds, NaN, method/path encoding and body byte changes."
UC-065,Authentication,"Wrong, malformed or unknown API credential",POS client,Public /v1 request.,Prefix lookup/hash/decryption gate returns generic 401.,All /v1 routes,401 invalid_credentials.,Retry only with valid credential; failures rate-limited when adapter exists.,No partner enumeration.,IMPLEMENTED_AND_TESTED,route tested,apps/api/src/auth.ts:16-49; packages/database/src/supabase-repository.ts:102-137; apps/api/src/pos-partner.test.ts:188,Supabase corrupt-ciphertext behavior test.,high,"Test unknown prefix, wrong suffix, malformed scheme and corrupted encrypted secret."
UC-066,Authentication,Missing scope or wrong location,POS client,Public /v1 request.,Operation scope checked then location ownership/environment authorized.,All location routes,403; no state change.,New request attempt after authorization correction.,Credential scopes + location scopes + DB ownership join.,IMPLEMENTED_AND_TESTED,route tested,apps/api/src/app.ts:124-134; apps/api/src/auth.ts:77-83; apps/api/src/pos-partner.test.ts:188-252,Supabase multi-tenant integration.,critical,Matrix every scope against every endpoint and cross-partner location.
UC-067,Authentication,Expired or revoked credential,POS client,Public /v1 request.,Expired/overlap-expired/revoked are rejected; revoked omitted by query.,All /v1 routes,401 immediately after effective time/revocation.,No grace after explicit revoke.,Status/expiry checked twice.,IMPLEMENTED_NOT_FULLY_TESTED,unit route tested with memory,apps/api/src/auth.ts:27-32; packages/database/src/supabase-repository.ts:110-123; apps/api/src/pos-partner.test.ts:188,Real DB time-bound and revocation propagation tests.,high,Rotate/revoke/expire against remote DB with concurrent in-flight requests.
UC-068,Authentication,Wrong sandbox/production credential or header,POS client,Public /v1 request.,Deployment selects environment and key prefix; payment-session routes also require exact environment header.,Public routes,401; no state change.,Use separately issued environment credential.,Credential row/environment/prefix; session ID environment checked.,IMPLEMENTED_AND_TESTED,route tested,"apps/api/src/auth.ts:25-26,71-76; apps/api/src/app.ts:111-114,424-446; apps/api/src/pos-partner.test.ts:188",Remote two-project crossover test.,critical,Send every sandbox credential/header/ID combination to production and inverse.
UC-069,Secret rotation,Rotate API key/request-signing secret with grace,Restec operator,Existing active secrets and operator authority.,RPC moves active keys to overlap and creates new version; auth honors grace.,Operator rotate; public API,old active -> overlap; new active; both work until grace.,Rotation RPC advisory-locks partner/environment.,Service-role; location scopes validated.,PARTIALLY_IMPLEMENTED,unit route plus migration,supabase/migrations/20260802000100_pos_partner_credentials.sql:175-219; scripts/provision-pos-partner.ts:204-245; apps/api/src/pos-partner.test.ts:188,"Supabase integration, audit, rollback and operator approval for revoke.",high,Rotate during traffic; prove both keys then exact expiry and no scope widening.
UC-070,Secret rotation,Old credential after grace expires,Restec operator,Existing active secrets and operator authority.,Repository/auth reject overlap row when grace_ends_at <= now.,All /v1 routes,401,Client must switch to new key; no retry with old.,Time-based credential boundary.,IMPLEMENTED_AND_TESTED,unit route tested,apps/api/src/auth.ts:27-32; packages/database/src/supabase-repository.ts:115-123; apps/api/src/pos-partner.test.ts:188,Remote clock/boundary test.,high,Exercise one second before/at/after grace across two instances.
UC-071,Secret rotation,Rotate POS webhook signing secret with grace,Restec operator,Existing active secrets and operator authority.,No operator command/RPC/runtime dual-sign or overlap verification.,Outbound POS webhook,Undefined; immediate config replacement risks queued events.,Queued event is not bound to signing-secret version.,Secret lives only inside encrypted connector JSON at dispatch.,MISSING,not tested,packages/connectors/canonical-rest/src/index.ts:47-60; scripts/provision-pos-partner.ts:138-176,"Versioned secret records, grace protocol, event binding and audit.",critical,Rotate with pending/retrying events and prove partner accepts every attempt exactly once.
UC-072,Secret rotation,Rotate encryption/hash master keys,Restec operator,Existing active secrets and operator authority.,Ciphertexts/hash pepper support one configured key only; no key version or re-encryption workflow.,Deployment/operator,Changing key makes credentials/config unreadable and auth/location fail.,No retry/migration protocol.,AES-GCM is sound but key lifecycle absent.,MISSING,not tested,"packages/security/src/index.ts:59-83; packages/database/src/supabase-repository.ts:120-127,264-270","Key IDs, dual-read/single-write migration, rollback and KMS custody.",critical,Rotate on cloned production-sized DB and verify zero auth/webhook interruption.
UC-073,Environment isolation,Key prefix and credential row prevent environment crossover,POS/private service/operator,Separate environment deployment/configuration expected.,rst_test/rst_live plus target environment enforced.,All /v1 routes,401 on crossover.,Separate idempotency/replay rows include environment only partly; key partner scopes remain.,Deployment-selected environment.,IMPLEMENTED_AND_TESTED,unit/route tested,"apps/api/src/auth.ts:25-26,71-76; packages/security/src/index.ts:85-89; packages/security/src/security.test.ts:55",Two-project remote test.,critical,"Attempt cross-environment key, location, session and event identifiers."
UC-074,Environment isolation,Separate sandbox and production databases/secrets,POS/private service/operator,Separate environment deployment/configuration expected.,Config/docs require Supabase but cannot prove distinct deployed projects or restore isolation from repository.,Deployment,Expected physically separate projects; evidence absent.,Operational rollback only.,Highest boundary is infrastructure ownership.,DOCUMENTED_ONLY,not tested,docs/DEPLOYMENT.md:3-6; apps/api/src/config.ts:55-76; docs/internal/POS_PARTNER_PRODUCTION_GAP_ASSESSMENT.md:7-8,"Deployment inventory, secret provenance, IAM and crossover evidence.",critical,Read-only compare project IDs/secrets; destructive sandbox marker must be impossible in production.
UC-075,Environment isolation,Environment header mismatch,POS/private service/operator,Separate environment deployment/configuration expected.,Only payment-session public routes require X-Restec-Environment; other routes rely on deployment/key.,Payment-session create/status,401 on mismatch; bill/payment routes ignore header by contract.,Fresh request after correction.,"Header is defense-in-depth, not sole boundary.",IMPLEMENTED_NOT_FULLY_TESTED,route tested for sessions,"apps/api/src/app.ts:111-114,274-277,424-427; docs/pos-partner/AUTHENTICATION.md:15",Explicit policy/negative tests for header on all route classes.,high,Send missing/wrong header across all endpoints in both deployments.
UC-076,Environment isolation,Private event from wrong service/environment,POS/private service/operator,Separate environment deployment/configuration expected.,Session events require service ID and environment; mappings also compare deployment environment.,POST internal Paely event,401/400/404; no inbox.,Event ID not reserved if rejected before commit.,Global event secret + service/env + stored mappings.,IMPLEMENTED_AND_TESTED,mock tested,"apps/api/src/app.ts:836-899,880-914; apps/api/src/app.test.ts:114",Remote private-service crossover certification.,critical,Replay valid sandbox event/signature to production and mutate each identity field.
UC-077,Reconciliation,Compare Restec and private bill state,Restec operator/job,Protected job credentials and existing state.,Protected job compares seven fields and returns matched/mismatch/pending/review_required.,POST /api/internal/jobs/reconcile action compare,200 result; local state is not rewritten.,Operator may repeat safely; audit emitted.,Job bearer and partner/location authorization.,PARTIALLY_IMPLEMENTED,unit/code only,apps/api/src/reconciliation.ts:21-53; apps/api/src/app.ts:1190-1237,"Persist reconciliation result, batch scheduler and DB/private integration.",high,Create each field mismatch and dependency outage; verify durable case and alert.
UC-078,Reconciliation,Refresh private bill to recover mismatch,Restec operator/job,Protected job credentials and existing state.,API accepts action refresh_private_bill but executes same compare path and does not refresh/write anything.,POST internal reconcile,Currently returns comparison while audit label says refreshed.,Repeated call remains compare-only.,Job authorization hides semantic gap.,MISSING,runtime contradiction,"apps/api/src/app.ts:1198-1200,1221-1234; apps/api/src/reconciliation.ts:21-53",Implement safe refresh or remove/rename action and docs.,critical,"Inject mismatch, invoke action, assert intended source-of-truth recovery and audit accuracy."
UC-079,Reconciliation,Mark bill for manual review,Restec operator/job,Protected job credentials and existing state.,Service writes audit log only; bill reconciliation_status/case queue is not updated.,POST internal reconcile action mark_manual_review,"202 review_required response, but no durable bill status transition.",Repeat creates more audits.,Job bearer.,PARTIALLY_IMPLEMENTED,code only,apps/api/src/app.ts:1211-1213; apps/api/src/reconciliation.ts:55-65,"Durable review case/status, ownership, resolution and alerts.",high,"Mark/reload bill; verify case visible, assignable and resolvable."
UC-080,Reconciliation,Requeue dead-lettered POS event,Restec operator/job,Protected job credentials and existing state.,Protected action invokes RPC and audits; RPC eligibility errors are mapped generically.,POST internal reconcile action requeue_pos_event,202 pending; dispatcher retries same event.,Same event ID; attempt history retained.,Job bearer; no granular operator role.,PARTIALLY_IMPLEMENTED,code/migration only,apps/api/src/app.ts:1215-1219; packages/database/src/supabase-repository.ts:609-611; supabase/migrations/20260718000100_restec_final_integration.sql:125-135,"Supabase integration, authorization granularity and replay reason.",high,"Dead-letter, requeue, deliver and verify immutable attempt/audit chain."
UC-081,Customer sessions,Refresh checkout URL safely under concurrent customer loads,Customer/provider,Existing public payment session.,"Opaque session route claims refresh lease, calls private refresh, validates DNS/host, stores encrypted URL and 303 redirects.",GET /s/{session},303 to allowed fresh URL; concurrent loser 503 retryable.,Lease token/expiry serializes refresh; no financial write.,"Opaque ID, deployment environment, connection mapping, SSRF checks.",IMPLEMENTED_AND_TESTED,route concurrency tested,apps/api/src/app.ts:536-646; apps/api/src/payment-sessions.test.ts:374; supabase/migrations/20260727000100_payment_session_checkout_refresh.sql:17-98,Supabase integration and real provider refresh certification.,high,Concurrent refresh across instances with lease expiry/crash and DNS rebinding attempts.
UC-082,Customer sessions,Abandoned checkout,Customer/provider,Existing public payment session.,Browser activity is irrelevant; scheduler polls provider and commits only authoritative terminal evidence.,GET /s/{session}; reconciliation job,Provider terminal -> deterministic terminal state/event; uncertain provider -> capacity retained.,Deterministic scheduler identity and duplicate-run no-op.,Opaque link; no customer identity required.,IMPLEMENTED_AND_TESTED,local scheduler abandonment tested,"apps/api/src/reconciliation.ts; apps/api/src/normal-payment-lifecycle.test.ts",Provider sandbox/deployed scheduler evidence.,medium,Create and never open/complete session; verify deployed eventual terminal state and POS event.
UC-083,Customer sessions,Stale session after TTL,Customer/provider,Existing public payment session.,Local TTL blocks checkout only; status/return remain nonterminal until scheduler obtains provider terminal proof.,GET session; GET /s; job,No browser mutation; provider expired -> one release/event; active/unavailable -> protected pending state.,Scheduler duplicates no-op and logical events dedupe.,Environment/location checks on API; opaque browser link.,IMPLEMENTED_AND_TESTED,unit/browser/scheduler tested,"apps/api/src/app.ts; apps/api/src/reconciliation.ts; apps/api/src/normal-payment-lifecycle.test.ts",Provider sandbox and deployed scheduler certification.,critical,"Let TTL pass without browser/provider; compare API, browser, job and POS webhook."
UC-084,Customer sessions,Customer return refresh/poll after checkout,Customer/provider,Existing public payment session.,Return page polls until terminal; cancel page explicitly preserves state.,GET /s/{session}/return or /cancel,Terminal message or confirmation_pending; no payment inferred from redirect.,Refresh is read-only; authoritative event wins later.,No-store/no-referrer headers; opaque ID.,IMPLEMENTED_AND_TESTED,unit route tested,apps/api/src/app.ts:647-715; apps/api/src/payment-sessions.test.ts:193,Accessibility/browser security and real provider redirect test.,medium,"Exercise all terminal/nonterminal states, repeated refresh and late event."
UC-085,Operations,Database unavailable or transaction fails,Deployment/job/downstream,Deployed service and dependencies.,Pre-send DB failure prevents the effect; post-send uncertainty retains protected capacity and stable retry identity.,Any DB-backed route/job,5xx without false success; ambiguous capacity remains unavailable.,Same identity and key recover the attempt.,Service-role DB; error details sanitized.,PARTIALLY_IMPLEMENTED,memory failure-window behavior and diagnostics tested,apps/api/src/app.ts; apps/api/src/financial-concurrency.test.ts; packages/database/src/supabase-repository.ts,Real DB failure injection and stale-idempotency repair.,critical,Kill DB before and after every financial RPC and prove exact recovery.
UC-086,Operations,Private payment/bill downstream timeout or 5xx,Deployment/job/downstream,Deployed service and dependencies.,Capacity is reserved first; post-send uncertainty becomes ambiguous and is never released prematurely.,Public bill/payment/session routes,503 payment_outcome_ambiguous with safe retry guidance.,Stable downstream identity and same public key reuse the reservation.,Signed service calls; no private IDs in public errors.,IMPLEMENTED_AND_TESTED,mock ambiguity and lifecycle tested,apps/api/src/mock.e2e.test.ts; apps/api/src/financial-concurrency.test.ts; packages/paely-client/src/index.ts,Provider sandbox timeout-after-commit proof remains.,critical,Inject timeout after actual downstream commit and verify same-key convergence.
UC-087,Operations,Queue/worker/deployment failure during event processing,Deployment/job/downstream,Deployed service and dependencies.,DB inbox/outbox transaction and leases exist; operational alerting/failover/restore evidence absent.,Private event and dispatch job,Event stays pending/processing until worker recovery; lease expires.,Durable dedupe/leases intended.,Internal job token and service-role DB.,PARTIALLY_IMPLEMENTED,mock/migration tested,supabase/migrations/20260717000100_restec_foundation.sql:18-26; apps/api/src/app.ts:1079-1188,"DB integration, chaos, queue-age alert, multi-region/scheduler runbook.",critical,"Crash after claim, after HTTP success and before DB completion; verify bounded duplicates/recovery."
UC-088,Operations,Misconfigured deployment or disabled dependency,Deployment/job/downstream,Deployed service and dependencies.,"Config fails fast for several secrets/HTTPS/shared limiter but cannot prove deployed values, scheduler auth or migrations.",Startup/health,Startup failure or health 200 with sanitized environment.,Redeploy after correction.,Secrets remain server-side; health exposes environment/version.,DOCUMENTED_ONLY,unit config tested,apps/api/src/config.ts:55-87; apps/api/src/config.test.ts:18-49; docs/VERCEL_DEPLOYMENT.md:48-60,"Deployment attestation, migration version health, dependency readiness health.",high,Deploy intentionally broken staging variants and verify fail-fast/alerts/rollback.
UC-089,Data isolation,Cross-location bill/payment/session access,POS/customer/operator,At least two tenants/locations or sensitive data.,"Auth scopes, authorizeLocation and connection/session checks prevent access; not-found used for session isolation.",Public location routes,403 for location denial; 404 for foreign session.,Request replay still recorded after auth before route authorization.,Credential and DB ownership boundary.,IMPLEMENTED_AND_TESTED,route tested,"apps/api/src/auth.ts:77-83; apps/api/src/app.ts:128-134,435-446; apps/api/src/pos-partner.test.ts:188",Supabase two-partner integration and enumeration test.,critical,Attempt every resource ID from another partner/location with scoped/unscoped keys.
UC-090,Data isolation,Private identifiers excluded from public responses,POS/customer/operator,At least two tenants/locations or sensitive data.,Private client sanitizes bill; session response exposes public IDs; public dependency errors sanitized.,Public APIs,No private connection/location/session/provider URL in JSON.,Cached idempotent response also contains sanitized body.,Explicit projection boundary.,IMPLEMENTED_AND_TESTED,unit/mock tested,packages/paely-client/src/index.ts:523-539; apps/api/src/payment-sessions.ts:125-153; apps/api/src/mock.e2e.test.ts:254,Automated response snapshot/leak scanner across errors and logs.,high,Fuzz downstream responses with private fields and scan all public outputs.
UC-091,Data isolation,Logs and audit metadata avoid credentials/card data,POS/customer/operator,At least two tenants/locations or sensitive data.,Structured errors omit raw bodies/secrets; cardholder-key input rejected; audit records safe payment metadata.,All routes/jobs,Rejected card data 400; sanitized logs/audits.,No retry relevance.,PCI/security boundary at hosted page.,IMPLEMENTED_AND_TESTED,unit/mock tested,"apps/api/src/payment-sessions.ts:7-28; apps/api/src/app.ts:254-269,1392-1422; apps/api/src/payment-sessions.test.ts:539","Production log sink review, secret pattern scanning and retention controls.",high,Inject secrets/PII in every downstream error/header and scan captured logs/audits.
UC-092,Data isolation,Customer email/mobile privacy,POS/customer/operator,At least two tenants/locations or sensitive data.,"Optional customer fields are validated and sent to private service; Restec payment_sessions table does not store them, but observability/retention policy is not certified.",POST payment-sessions,201; customer data absent from public response/local session row.,"Same request body hash/idempotency record could retain response only, not request body.",PII crosses Restec-to-private signed channel.,IMPLEMENTED_NOT_FULLY_TESTED,schema/mock tested,packages/contracts/src/index.ts:100-120; apps/api/src/app.ts:358-380; supabase/migrations/20260723000100_payment_sessions.sql:4-35,"Data-flow inventory, log proof, retention/legal basis and provider contract.",high,Trace PII through app/DB/logs/backups and verify deletion/retention policy.
UC-093,Capacity/rate limits,Per-credential/location/path request rate limit,POS/attacker/workers,Deployed multi-instance service under load.,"When adapter configured, fixed 100/min bucket is enforced; strict mode can require adapter.",All /v1 routes,429 Retry-After or 503 if limiter unavailable.,Rejected requests occur after credential lookup and before signature/body/replay checks.,Bucket includes credential prefix/location/path.,PARTIALLY_IMPLEMENTED,unit adapter tested,apps/api/src/auth.ts:50-69; packages/rate-limiting/src/index.ts:36-63; packages/rate-limiting/src/index.test.ts:16,Production adapter/load evidence and configurable policy.,high,Distributed load across instances/paths/locations and verify exact global limits.
UC-094,Capacity/rate limits,Authentication-failure flood,POS/attacker/workers,Deployed multi-instance service under load.,Invalid credentials consume 20/min by hashed source only when limiter exists; without strict/configured limiter there is no protection.,All /v1 routes,"Eventually limiter-specific behavior, but result.allowed is not checked in auth-failure branch.",Each attempt independent.,Source derived from proxy headers; trust boundary not configured in code.,IMPLEMENTED_NOT_FULLY_TESTED,code only,apps/api/src/auth.ts:33-48,"Check allowed result, trusted-proxy policy, production edge/WAF tests.",high,Flood forged X-Forwarded-For and one source; verify throttling and no DB exhaustion.
UC-095,Capacity/rate limits,Traffic spike and downstream saturation,POS/attacker/workers,Deployed multi-instance service under load.,"Fixed request limit, private retries and batch size exist; no load/capacity/backpressure/circuit-breaker evidence.",Public APIs/jobs,Expected bounded latency/429/503; actual capacity unknown.,Retries may amplify load because private retries have no delay.,Credential limiter and job batch only.,PARTIALLY_IMPLEMENTED,not tested,apps/api/src/config.ts:41-50; packages/paely-client/src/index.ts:558-657; docs/internal/POS_PARTNER_PRODUCTION_GAP_ASSESSMENT.md:15,"Load model, budgets, backpressure, jitter/circuit breaker, autoscaling evidence.",critical,Production-like spike with mixed API/webhook/jobs; certify SLO and no duplicate payments.
UC-096,Capacity/rate limits,Concurrent worker execution,POS/attacker/workers,Deployed multi-instance service under load.,claim_pos_outbox uses FOR UPDATE SKIP LOCKED and leases; DB integration test is skipped.,Overlapping dispatch jobs,Each event claimed by one worker; expired lease can be reclaimed.,Attempt uniqueness constrains evidence but HTTP success/DB failure can redeliver.,Job bearer and service-role RPC.,PARTIALLY_IMPLEMENTED,migration only,supabase/migrations/20260717000100_restec_foundation.sql:26; apps/api/src/app.ts:1082-1091; packages/database/src/supabase-repository.integration.test.ts:9,Run integration/chaos with multiple workers and post-success crash.,critical,Launch N workers on real DB; assert claim exclusivity and documented at-least-once delivery.
UC-097,Offboarding,Revoke all restaurant API credentials,Restec operator/restaurant,Provisioned restaurant with credentials/connections/evidence.,Single-key revoke exists; no partner/location bulk-offboarding transaction.,Operator revoke,Each key -> revoked; partner/connection remain active unless separately changed.,Per-key repeated revoke fails.,Service-role by prefix; no ownership confirmation in RPC input.,PARTIALLY_IMPLEMENTED,code only,scripts/provision-pos-partner.ts:248-258; supabase/migrations/20260802000100_pos_partner_credentials.sql:221-227,"Bulk scoped offboarding, approval, audit and inventory.",critical,Offboard partner with active/overlap keys and prove all public access ends immediately.
UC-098,Offboarding,Disable POS connection/webhook,Restec operator/restaurant,Provisioned restaurant with credentials/connections/evidence.,"status columns exist and runtime authorizes only active connection, but no governed operator workflow coordinates both config stores.",DB/operator,connection active -> disabled should block APIs/dispatch; webhook endpoint status is otherwise unused by runtime.,Pending events behavior undefined.,Service-role DB; connector configuration remains encrypted.,PARTIALLY_IMPLEMENTED,migration/runtime only,"supabase/migrations/20260717000100_restec_foundation.sql:10,15; packages/database/src/supabase-repository.ts:245-280","Atomic disable workflow, audit, pending-event policy and tests.",critical,Disable during traffic/queued events; verify API denial and chosen delivery behavior.
UC-099,Offboarding,Handle pending payments/outbox during offboarding,Restec operator/restaurant,Provisioned restaurant with credentials/connections/evidence.,No drain/cancel/quarantine policy; disabling connection makes authorizeConnection fail so claimed outbox rows may remain unrecoverable/recycled.,Dispatch and offboarding,"Undefined: drain before revoke, quarantine, or deliver after offboard.",Existing event IDs/history must be retained.,Conflicts security revocation with financial notification duty.,REQUIRES_PRODUCT_DECISION,not tested,packages/database/src/supabase-repository.ts:477-528; apps/api/src/app.ts:1090-1174,"Explicit drain order, legal/financial policy, break-glass replay and implementation.",critical,Offboard with processing session and pending/dead-letter events; prove no lost money/event or unauthorized callback.
UC-100,Offboarding,"Data retention, deletion and re-onboarding",Restec operator/restaurant,Provisioned restaurant with credentials/connections/evidence.,FKs use delete restrict and rollback notes preserve evidence; no retention schedule/anonymization/re-onboarding workflow.,Operator/data lifecycle,Evidence retained; deletion/reuse semantics undefined.,Old external IDs/idempotency records may collide on re-onboarding.,"Must balance tenant deletion, financial retention and privacy.",DOCUMENTED_ONLY,documented only,supabase/migrations/20260717000100_restec_foundation.sql:5-21; docs/DEPLOYMENT.md:10; supabase/migrations/20260802000100_pos_partner_credentials.sql:246-247,"Retention schedule, anonymization, legal holds, identifier reuse and reactivation policy.",high,Offboard then re-onboard same external IDs after retention windows; verify isolation and evidence.
